Source,Prediction,Reference
"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","हम इस बात के साथ मिलकर यह भी कहते हैं कि हमारे देश के हित ों और परि स्थिति यों के हित ों के साथ , अपने हित ों के साथ , अपने आप को अपने संग ठ नों के साथ , बेहतर और अधिक परिवर्तन करने के लिए , बेहतर परिवर्तन करना होगा ।","हम USOC के इस कथन से सहमत हैं कि हमारे एथलीटों और क्लबों और उनके खेल, हमारे संगठन के भीतर सार्थक बदलाव के साथ आगे बढ़ कर बेहतर सेवा की जा सकती है ना की विप्रमाणन से |"
USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,यू एस एस ने कहा कि निवेश पर निर्भर है कि निवेश को यह समर्थन देने के लिए एक स्वतंत्र समर्थन देने के लिए यह है कि वि द्य ु त सर कार द्वारा स मुच ित साह ित ्य िक रूप से वि द्य ु त और अ ने क प्रकार के लोगों को भी अ सर कार द्वारा किया जा सकता है ।,यूएसए जिमनास्टिक्स एक स्वतंत्र जाँच का समर्थन करता है जो इस बात पर प्रकाश डाल सकता है कि लैरी नासर के बचे लोगों द्वारा इतनी हिम्मत से बताए गए प्रपोर्शन का दुरुपयोग इतने लंबे समय तक चल सकता था और किसी भी आवश्यक और उचित परिवर्तन को अपना सकता है.
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.","यू रो प और शि क्षा के लिए यह लक्ष्य है कि अन्य लोगों के लिए , जैसे कि सान ों , और अन्य लोगों के लिए , अपने आप को अपने स्व च्छ ता और स्व च्छ ता के लिए अपने स्व च्छ ता के रूप में अपने स्व च्छ ता के लिए आवश्यक है ।","यूएसए जिमनास्टिक्स और यूएसओसी का एक ही लक्ष्य है — एथलीटों को सुरक्षित, सकारात्मक और सशक्त वातावरण में अपने सपनों का अनुसरण करने के लिए जिमनास्टिक्स और अन्य लोगों के खेल को जितना संभव हो सके उतना सुरक्षित बनाना."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.","19 60 में , जो ज़े ब के लिए जे . पी . जी . के . जे . के . जे . के . जे . के . ए . जे . ए . ए . के . ए . जे . के . ए . ए . ए . जे . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . जे . के . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . के . ए . ए . ए . ए . ए . ए . ए . जे . ए . ए . ए . ए . ए . के . ए . ए . ए . के . ए . ए . ए . ए . ए . ए . ए . ए . जे . जे . जे . जे . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए . ए .","1960 के दशक के दौरान, ब्रेझिन्स्की ने जॉन एफ कैनेडी के सलाहकार के तौर पर और उसके बाद लिंडन बी जॉनसन के प्रशासन के लिए काम किया."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","19 7 6 में उन्होंने विदेश नीति को विदेश ी नीति पर रा ष्ट ्र ीय सुरक्षा नीति , 19 7 7 से 19 7 8 से 19 7 7 तक की स्थापना की ।","1976 चयन के दौरान उन्होंने विदेश नीति पर कार्टर को सलाह दी, फिर 1977 से लेकर 1981 तक राष्ट्रीय सुरक्षा सलाहकार (एनएसए) के रूप में हेनरी किसिंजर को सेवा दी."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","जैसा कि उन्होंने अपने विश्व वि द ्याल यों को अपना या , जो 19 8 7 में , 19 7 8 में , 19 7 8 में , 19 7 0 में , 19 7 7 में , 19 7 9 में , 19 7 9 में , 19 7 9 में , जब तक कि एक दशक में एक दशक के दौरान , 19 7 9 में , 19 9 7 में , 19 9 7 में , 19 9 7 में एक बार ह िन ् दु स्ता न और वि द् वान थे ।","एनएसए के रूप में, उन्होंने कूटनीतिक रूप से विश्व मामलों को संभालने में कार्टर की सहायता की, जैसे कि कैंप डेविड एकॉर्ड्स, 1978; 1970 के दशक के अंत में अमेरिका-चीन संबंधों को सामान्य बनाना; ईरानी क्रांति, जो ईरान बंधक संकट का कारण बनी, 1979; और अफ़गानिस्तान में सोवियत आक्रमण, 1979."
"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.","चित्र , मा त ृ त्व , म ंत ्रा ल य और सभी म ंत ्रा ल य में कोई भी कोई भी नहीं मिला ।","जिस फिल्म में रायन गोज़लिंग और एम्मा स्टोन ने मुख्य भूमिकाएँ निभाई हैं, उसे सभी प्रमुख श्रेणियों में नॉमिनेशन किया गया है."
Gosling and Stone received nominations for Best Actor and Actress respectively.,गो ली और राज ्य ों के लिए एक से अधिक से ना ग रिक और कार्य कारी अधिकार ियों के लिए कोई भी उप लब ् ध नहीं है ।,गोसलिंग और स्टोन को क्रमशः सर्वश्रेष्ठ अभिनेता और अभिनेत्री के लिए नामांकन मिला है.
"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",अन्य उप स्थित व्यक्ति,"अन्य नामांकनों में बेस्ट पिक्चर, डायरेक्टर, सिनेमेटोग्राफ़ी, कॉस्ट्यूम डिज़ाइन, फ़िल्म-संपादन, मूल स्कोर, प्रोडक्शन डिज़ाइन, ध्वनि संपादन, ध्वनि मिश्रण और ओरिजनल स्क्रीनप्ले शामिल हैं."
"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.","च ौ थे च न् द्र मा के दो गीत , जिन्होंने स त्र और गीत गा ं व ों के लिए एक प्रमुख स ॉ ँ ट की और न ही , जो कि कोई भी उदाहरण नहीं है , न केवल एक ही स्थान से अधिक से अधिक तर से अधिक नहीं है ।",ऑडिशन (द फ़ूल्स हू ड्रीम) और सिटी ऑफ़ स्टार्स के दो गानो को सर्वश्रेष्ठ मूल गीत के लिए नामांकन मिला. किसी भी अन्य स्टूडियो से ज़्यादा — लायंसगेट स्टूडियो को 26 नामांकन मिले.
"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.","30 बजे , रा ष्ट ्र पति ने राज ्य स भा में राज ्य स भा में एक स भा पति को संबोधित किया , एक स चि व को ष ित करने के लिए एक स चि व का य ंत्र दिया ।","रविवार को देर शाम, यूनाइटेड स्टेट्स के राष्ट्रपति डोनाल्ड ट्रंप ने प्रेस सेक्रेटरी के ज़रिए दिए बयान में बताया कि यूएस सेना सीरिया को छोड़ने वाली है."
The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,वि वाद के बाद रा ष्ट ्र पति ने कहा कि प श्च ि मी पा ल के साथ एक बार ह िन ् दी की बात की थी ।,तुर्की के राष्ट्रपति रजब तैयब इरदुगान के साथ ट्रंप की फ़ोन पर चर्चा होने के बाद घोषणा की गई थी.
"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.","तु र् की के पास भी यह भी कहा जाएगा कि राज ्य ों ने कहा है कि यू रो पी य ने कहा है , यू रो पी य ने कहा है , यू रो पी य ने कहा है ।","तुर्की ने आईएसआईएस के लड़ाकों को पकड़ना और निगरानी करना शुरू कर दिया है, बयान में कहा गया है कि यूरोपीय देशों ने प्रत्यावर्तन करने से इन्कार कर दिया है."
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.","यह केवल केवल कुछ ही नहीं है कि कुछ समय पहले ही ही ही पहले ही ही ही है , लेकिन कुछ समय पहले ही ही ही नहीं बल्कि यह मं दि रों में ही उप लब ् ध है , बल्कि तीन या तीन या तीन या तीन या तीन प्रकार के होते हैं ।","यह न केवल इसकी पुष्टि करता है कि कम से कम कुछ डायनासोर के पंख थे, एक सिद्धांत पहले से ही प्रचलित है, लेकिन यह ऐसी जानकारी प्रदान करता जो जीवाश्म आमतौर पर नहीं कर सकते, जैसे रंग और तीन आयामी अरेंजमेंट."
. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,वैज्ञानिक प शु ओं के साथ यह प शु ओं का एक प शु ओं का सिर पर प ट् टा होता है ।,वैज्ञानिकों का यह कहना है कि इस जानवर के रोमछिद्र भूरे और कैरोटीनॉयड के नीचे का रंग भूरा-भूरा था।
The find also grants insight into the evolution of feathers in birds.,किसी पक्ष ी के रूप में भी पा ई के रूप में भी पा ई जाती है ।,यह खोज पक्षियों में पंखों के विकास की पूरी जानकारी भी प्रदान करती है.
"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.","क्योंकि न ारी ने एक बार ह िन ् दू - प्र दू ष ित किया है , लेकिन एक अन्य विशेष रूप से विकसित किया है , लेकिन अन्य प श्च ि मी ब ं गा ल में अन्य विशेष रूप से विकसित किया है , लेकिन बाद में इसके बाद बाद में प श्च ि म ब ं गा ल में विकसित हुआ है ।","हालाँकि, डायनासोर के पंखों के शाफ्ट पूरी तरह से विकसित नहीं होते हैं और उन्हें रैचिस कहा जाता है. लेकिन उनके पंखों में बार्ब्स और बार्बुल्स जैसी अन्य खूबियाँ होती हैं. शोधकर्ताओं ने अनुमान लगाया है कि डायनासोर की अन्य खूबियों की तरह शायद रैचिस भी बाद में विकसित हुए होंगे."
"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.","यह एक संरचना है कि वे इस प्रकार के मं दि र में नहीं बल्कि स त्य के लिए प्रयोग किया गया था , बल्कि यह स्पष्ट है कि वे इस तरह की तरह से नहीं बल्कि स त्य के लिए भी वि शिष्ट ता ओं के लिए भी नहीं बल्कि यह भी बहुत कम है ।","पंखों की संरचना से पता चलता है कि उनका उपयोग उड़ान में नहीं, बल्कि तापमान विनियमन या प्रदर्शन के लिए किया जाता था। शोधकर्ताओं ने सुझाव दिया कि, भले ही यह एक युवा डायनासोर की पूँछ हो, लेकिन नमूना वयस्क साहुल दर्शाता है ना कि बच्चे का निचला हिस्सा।"
"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",छात्र ों को यह पता चलता है कि यद ्य पि यह युवा ओं के युवा ओं को अ ने क बार ों में नहीं बल्कि स ूर ्य और प्र कट करते हैं ।,"शोधकर्ताओं ने सुझाव दिया कि, भले ही यह किसी छोटे डायनासोर की पूंछ है, लेकिन नमूना वयस्क के पंख का लगता है ना कि किसी बच्चे का।"
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",एक कार् बन िक ग ं गा के दो पु त्र ी के दो बार क वि ता ओं में कल क त् ता के दो बार क वि ता ओं में से एक त्र ी पूर्ण क वि ता एं और अधिक अधिक ारी के अधिक ारी थे ।,"कल सुबह तुर्की के गाज़ियाँटेप में पुलिस मुख्यालय में एक कार बम विस्फोट हुआ, जिसमें दो पुलिस अधिकारी मारे गए और बीस से अधिक लोग घायल हुए."
The governor's office said nineteen of the injured were police officers.,राज ्य पा ल ने कहा कि न ्याय पा लि का में सर कार ने पा लि का अधिकार ियों को पु लि स अधिकार ियों को पु लि स अधिकार ियों को पु लि स अधिकार ियों को दिया ।,राज्यपाल के कार्यालय ने बताया कि घायलों में से उन्नीस पुलिस अधिकारी थे।
Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,पु लि स ने कहा कि वे मु स् लि म ों को एक ही समय तक सीमित कर रहे हैं ।,पुलिस ने कहा कि उन्हें हमले के लिए ज़िम्मेदार कथित डाएश (आईएसआईएल) लड़ाकों पर संदेह है.
"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.","उन्होंने स ूर ्य के साथ ही साथ ही साथ ही साथ ही साथ ही , सभी प्रकार के सभी प्रकार के सभी प्रकार के समान ता ओं को भी देखा गया था ।","उन्होंने पाया कि सूर्य अन्य सितारों के समान मूल सिद्धांतों पर संचालित होता है: मंडल के सभी सितारों की गतिविधि उनके प्रकाश, उनके परिक्रमण द्वारा संचालित थी, किसी और कारण से नहीं।"
"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.",ए स् को म और रो त ए व ं ता ओं के साथ एक त्र ि मा त्र ण के रूप में प्रयोग किया जाता है जो एक त्र ि मा से संबंधित होते हैं ।,"एक तारे की रॉस्बी संख्या, जो प्लाज़्मा फ़्लो से संबंधित है, का पता लगाने के लिए उसकी चमक और रोटेशन का एक साथ इस्तेमाल किया जाता है,"
"The smaller the Rossby number, the less active the star with respect to magnetic reversals.","छोटा सा संख्या , अ र् था त् न के साथ कम से कम , कम ् प नी के साथ कम ् प नी के साथ कम होती है ।","रॉस्बी संख्या जितनी छोटी होगी, चुंबकीय उत्क्रमण के संबंध में तारा उतना ही कम सक्रिय होगा."
"During his trip, Iwasaki ran into trouble on many occasions.","उनके दौरान , मैं बहुत से बहुत - से ना टक में बहुत कम ज़ोर रहा था ।","अपनी यात्रा के दौरान, इवासाकी कई मौकों पर परेशानियों में फंस गया था."
"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.","उन्होंने पा कि स्ता न में बा बू के पास ही नहीं देखा था , क्योंकि भार त में बा ंध ी और पा कि स्ता न में बा ंध ी जी ने भार त में बा ंध ी जी के लिए बहुत ही कम कर दिया ।","उसे समुद्री डाकुओं ने लूटा था, तिब्बत में पागल कुत्ते ने हमला किया, नेपाल में शादी से भाग निकला और भारत में गिरफ्तार कर लिया गया।"
The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,80 2 . 11 . 2 . 2 . 4 . 2 . 4 . और 5 4 . ज ग ृ ह म ंड ल की संख्या 2 . 0 5 . 5 . ज मा करते हैं ।,802.11n मानक दोनों 2.4 गीगाहर्टज़ और 5.0 गीगाहर्टज़ आवृत्तियों पर काम करता है.
"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.",यह 11 2 80 प्रतिशत से अधिक होगा । 11 . 11 . 11 80 और 11 11 . 11 . 11 . 11 . 11 . 11 . 20 11 को रा ष्ट ्र ीय उ द ्यान ् वित किया जाएगा ।,"यह इसे 802.11a, 802.11b और 802.11g के साथ पीछे की ओर संगत करने की अनुमति देगा, बशर्ते कि बेस स्टेशन में दोहरे रेडियो हों."
The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,2 80 . 11 . 11 प्रतिशत से अधिक है कि यह अधिकतम अधिकतम मात्रा से अधिक मात्रा में से अधिक है कि यह अधिकतम 6 00 से अधिक से अधिक है ।,600 मेगाबिट/सेकंड के अधिकतम थियोरिटीकल थ्रोपुट के साथ 802.11n की गति अपने पहले वाले चालकों से उल्लेखनीय रूप से बहुत तेज़ है.
"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.","व ार् ष िक विवाह के साथ दो बच्चे को छोड़ कर दो , जो बच्चे को एक बड़ी मात्रा में नहीं मिला ।","डुवैल, जो विवाहित है और उसके दो वयस्क बच्चे हैं, उसने मिलर पर बड़ा असर नहीं किया, जिस से कहानी संबंधित है."
"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""","जब तक कि र स ूल ने पूछा , s s ने कहा , मैं नहीं जानता था । s मैंने यह बात समझ रहा था कि मैं क्या कह रहा था कि मैं क्या नहीं था । s क्या मैंने सोचा था कि वह क्या है ?","जब टिप्पणी के लिए कहा गया, तो मिलर ने कहा, “माइक सुनते समय बहुत सारी बातें करता है ... मैं तैयार हो रहा था इसलिए वह जो कह रहा था मैं वास्तव में उसे सुन नहीं रहा था”."
"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.",हम इसे 20 0 5 से 20 0 5 तक के द्वारा प्राप्त किए गए वि वि ध ता को पूरा करने के लिए हमें अपने स्तर पर उप लब ् ध करा ना होगा ।,"“हू ने कहा, हम 2005 के स्तर से 2020 तक उल्लेखनीय अंतर से सकल घरेलू उत्पाद की प्रति यूनिट कार्बन डाइऑक्साइड उत्सर्जन में कटौती करने का प्रयास करेंगे."
"He did not set a figure for the cuts, saying they will be made based on China's economic output.",उन्होंने कहा कि वे इस अर्थ में एक वि शिष्ट आर्थिक सहायता के लिए एक वि शिष्ट अर्थ व्यव स्था नहीं हैं ।,"यह कहते हुए कि वे चीन के आर्थिक उत्पादन के आधार पर बनाए जाएँगे, उन्होंने कटौती के लिए कोई आँकड़ा निर्धारित नहीं किया."
"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""","उन्होंने देश के पहले , पहले , प श्च ि म में , पहले से ही , प श्च ि म और बाद में , बाद में , बाद में , बाद में , बाद में , बाद में , बाद में , बाद में , बाद , बाद में , बाद में , बाद , बाद में , बाद , बाद , बाद में , बाद , और बाद में . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",हू ने विकासशील देशों को “ पुराने तरीकों से प्रदूषण फैलाने से रोकने और बाद में सफाई करने के लिए प्रोत्साहित किया।”
"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""","उन्होंने कहा कि उन्हें यह कहना चाहिए कि वे अपने विकास और विकास पर विचार करने के लिए , अपनी जिम्मेदारी पर ध्यान देना चाहिए ।","उन्होंने आगे कहा कि “हालाँकि, उन्हें ऐसे दायित्व लेने के लिए नहीं कहा जाना चाहिए जो उनके विकास के चरण, जिम्मेदारी और क्षमताओं से परे हैं.”"
